Origin	Destination
Adelaide	Los Angeles	
Ahmedabad	Atlanta	
Ahmedabad	Chicago	
Ahmedabad	Dallas	
Ahmedabad	Houston	
Ahmedabad	Los Angeles	
Ahmedabad	San Francisco	
Ahmedabad	Washington, D.C.	
Amman	Boston	
Amman	Chicago	
Amman	Denver	
Amman	Detroit	
Amman	Fort Lauderdale	
Amman	Houston	
Amman	Las Vegas	
Amman	Los Angeles	
Amman	Orlando	
Amman	San Francisco	
Amman	Tampa	
Amman	Washington, D.C.	
Armenia	Aguadilla	
Armenia	Atlanta	
Armenia	Atlantic City	
Armenia	Austin	
Armenia	Baltimore, MD / Washington DC AREA	
Armenia	Boston	
Armenia	Burbank	
Armenia	Charlotte	
Armenia	Chicago	
Armenia	Cleveland	
Armenia	Columbus	
Armenia	Dallas	
Armenia	Detroit	
Armenia	Hartford	
Armenia	Houston	
Armenia	Indianapolis	
Armenia	Kansas City	
Armenia	Las Vegas	
Armenia	Los Angeles	
Armenia	Louisville	
Armenia	Miami	
Armenia	Minneapolis	
Armenia	Myrtle Beach	
Armenia	Nashville	
Armenia	New Orleans	
Armenia	New York	
Armenia	Orlando	
Armenia	Philadelphia	
Armenia	Phoenix	
Armenia	Pittsburgh	
Armenia	Sacramento	
Armenia	Saint Louis	
Armenia	San Diego	
Armenia	San Juan	
Armenia	Tampa	
Armenia	West Palm Beach	
Auckland	Aspen	
Auckland	Atlanta	
Auckland	Austin	
Auckland	Baltimore	
Auckland	Billings	
Auckland	Boise	
Auckland	Boston	
Auckland	Bozeman	
Auckland	Buffalo	
Auckland	Charlotte	
Auckland	Chicago	
Auckland	Cincinnati	
Auckland	Cleveland	
Auckland	Colorado Springs	
Auckland	Columbus	
Auckland	Dallas	
Auckland	Denver	
Auckland	Des Moines	
Auckland	Detroit	
Auckland	Eugene	
Auckland	Fort Collins	
Auckland	Fort Lauderdale	
Auckland	Fort Myers	
Auckland	Grand Rapids	
Auckland	Great Falls	
Auckland	Green Bay	
Auckland	Gunnison	
Auckland	Hartford	
Auckland	Helena	
Auckland	Honolulu	
Auckland	Houston	
Auckland	Idaho Falls	
Auckland	Indianapolis	
Auckland	Jackson	
Auckland	Kalispell	
Auckland	Kansas City	
Auckland	Las Vegas	
Auckland	Lincoln	
Auckland	Los Angeles	
Auckland	Miami	
Auckland	Milwaukee	
Auckland	Minneapolis	
Auckland	Missoula	
Auckland	Montrose	
Auckland	Nashville	
Auckland	New Orleans	
Auckland	Norfolk	
Auckland	Oklahoma City	
Auckland	Omaha	
Auckland	Orlando	
Auckland	Philadelphia	
Auckland	Phoenix	
Auckland	Pittsburgh	
Auckland	Raleigh	
Auckland	Redmond	
Auckland	Rochester	
Auckland	Sacramento	
Auckland	Saint Louis	
Auckland	Salt Lake City	
Auckland	San Diego	
Auckland	San Francisco	
Auckland	San Jose	
Auckland	Seattle	
Auckland	Spokane	
Auckland	Steamboat Springs	
Auckland	Sun Valley	
Auckland	Tampa	
Auckland	Vail	
Auckland	Washington, D.C.	
Ayers Rock	Houston	
Ayers Rock	Los Angeles	
Ayers Rock	San Francisco	
Ayers Rock	Seattle	
Bangalore	San Francisco	
Bangalore	Seattle	
Bangkok	Agana, Guam	
Bangkok	Akron	
Bangkok	Albuquerque	
Bangkok	Amarillo	
Bangkok	Aspen	
Bangkok	Atlanta	
Bangkok	Austin	
Bangkok	Baltimore	
Bangkok	Billings	
Bangkok	Boise	
Bangkok	Boston	
Bangkok	Bozeman	
Bangkok	Cedar Rapids	
Bangkok	Charleston	
Bangkok	Charlotte	
Bangkok	Chicago	
Bangkok	Cincinnati	
Bangkok	Cleveland	
Bangkok	Columbus	
Bangkok	Dallas	
Bangkok	Dayton	
Bangkok	Denver	
Bangkok	Des Moines	
Bangkok	Detroit	
Bangkok	Erie	
Bangkok	Eugene	
Bangkok	Fort Lauderdale	
Bangkok	Fort Myers	
Bangkok	Ft Wayne	
Bangkok	Grand Junction	
Bangkok	Greensboro	
Bangkok	Harrisburg	
Bangkok	Hartford	
Bangkok	Honolulu	
Bangkok	Houston	
Bangkok	Indianapolis	
Bangkok	Jacksonville	
Bangkok	Kansas City	
Bangkok	Knoxville	
Bangkok	Las Vegas	
Bangkok	Lincoln	
Bangkok	Los Angeles	
Bangkok	Louisville	
Bangkok	Medford	
Bangkok	Miami	
Bangkok	Midland	
Bangkok	Milwaukee	
Bangkok	Minneapolis	
Bangkok	Missoula	
Bangkok	Nashville	
Bangkok	New Orleans	
Bangkok	Norfolk	
Bangkok	Oklahoma City	
Bangkok	Omaha	
Bangkok	Orlando	
Bangkok	Pasco	
Bangkok	Pensacola	
Bangkok	Philadelphia	
Bangkok	Phoenix	
Bangkok	Pittsburgh	
Bangkok	Providence	
Bangkok	Raleigh	
Bangkok	Redding	
Bangkok	Redmond	
Bangkok	Reno	
Bangkok	Roanoke	
Bangkok	Sacramento	
Bangkok	Saint Louis	
Bangkok	Salt Lake City	
Bangkok	San Antonio	
Bangkok	San Diego	
Bangkok	San Francisco	
Bangkok	San Jose	
Bangkok	Seattle	
Bangkok	Tampa	
Bangkok	Tucson	
Bangkok	Washington, D.C.	
Bangkok	West Palm Beach	
Bangkok	Wichita	
Barranquilla	Aguadilla	
Barranquilla	Atlanta	
Barranquilla	Atlantic City	
Barranquilla	Austin	
Barranquilla	Baltimore, MD / Washington DC AREA	
Barranquilla	Boston	
Barranquilla	Burbank	
Barranquilla	Charlotte	
Barranquilla	Chicago	
Barranquilla	Cleveland	
Barranquilla	Columbus	
Barranquilla	Dallas	
Barranquilla	Detroit	
Barranquilla	Hartford	
Barranquilla	Houston	
Barranquilla	Indianapolis	
Barranquilla	Kansas City	
Barranquilla	Las Vegas	
Barranquilla	Los Angeles	
Barranquilla	Louisville	
Barranquilla	Miami	
Barranquilla	Minneapolis	
Barranquilla	Myrtle Beach	
Barranquilla	Nashville	
Barranquilla	New Orleans	
Barranquilla	New York	
Barranquilla	Orlando	
Barranquilla	Philadelphia	
Barranquilla	Phoenix	
Barranquilla	Pittsburgh	
Barranquilla	Raleigh	
Barranquilla	Richmond	
Barranquilla	Saint Louis	
Barranquilla	Tampa	
Beijing	Agana, Guam	
Beijing	Albany	
Beijing	Albuquerque	
Beijing	Anchorage	
Beijing	Aspen	
Beijing	Atlanta	
Beijing	Austin	
Beijing	Baltimore	
Beijing	Baton Rouge	
Beijing	Billings	
Beijing	Boise	
Beijing	Boston	
Beijing	Bozeman	
Beijing	Buffalo	
Beijing	Cedar Rapids	
Beijing	Charlotte	
Beijing	Chicago	
Beijing	Cincinnati	
Beijing	Cleveland	
Beijing	Columbia	
Beijing	Columbus	
Beijing	Corpus Christi	
Beijing	Dallas	
Beijing	Dayton	
Beijing	Denver	
Beijing	Des Moines	
Beijing	Detroit	
Beijing	Erie	
Beijing	Eugene	
Beijing	Fort Collins	
Beijing	Fort Lauderdale	
Beijing	Fort Myers	
Beijing	Grand Rapids	
Beijing	Great Falls	
Beijing	Greensboro	
Beijing	Greenville	
Beijing	Gunnison	
Beijing	Harrisburg	
Beijing	Hartford	
Beijing	Helena	
Beijing	Honolulu	
Beijing	Houston	
Beijing	Idaho Falls	
Beijing	Indianapolis	
Beijing	Jackson	
Beijing	Kalispell	
Beijing	Kansas City	
Beijing	Knoxville	
Beijing	Las Vegas	
Beijing	Lexington	
Beijing	Lincoln	
Beijing	Los Angeles	
Beijing	Louisville	
Beijing	Madison	
Beijing	Miami	
Beijing	Milwaukee	
Beijing	Minneapolis	
Beijing	Missoula	
Beijing	Montrose	
Beijing	Nashville	
Beijing	New Orleans	
Beijing	Norfolk	
Beijing	Oklahoma City	
Beijing	Omaha	
Beijing	Orlando	
Beijing	Palm Springs	
Beijing	Panama City	
Beijing	Philadelphia	
Beijing	Phoenix	
Beijing	Pittsburgh	
Beijing	Providence	
Beijing	Raleigh	
Beijing	Richmond	
Beijing	Roanoke	
Beijing	Rochester	
Beijing	Sacramento	
Beijing	Saint Louis	
Beijing	Salt Lake City	
Beijing	San Antonio	
Beijing	San Diego	
Beijing	San Francisco	
Beijing	San Jose	
Beijing	San Juan	
Beijing	Santa Barbara	
Beijing	Seattle	
Beijing	Sioux Falls	
Beijing	Spokane	
Beijing	Springfield	
Beijing	State College	
Beijing	Steamboat Springs	
Beijing	Sun Valley	
Beijing	Tampa	
Beijing	Tucson	
Beijing	Vail	
Beijing	Washington, D.C.	
Beijing	West Palm Beach	
Beijing	Wichita	
Bogota	Aguadilla	
Bogota	Akron	
Bogota	Albuquerque	
Bogota	Atlanta	
Bogota	Atlantic City	
Bogota	Austin	
Bogota	Baltimore	
Bogota	Baltimore, MD / Washington DC AREA	
Bogota	Boise	
Bogota	Boston	
Bogota	Buffalo	
Bogota	Burbank	
Bogota	Charlotte	
Bogota	Chicago	
Bogota	Cincinnati	
Bogota	Cleveland	
Bogota	Colorado Springs	
Bogota	Columbus	
Bogota	Dallas	
Bogota	Denver	
Bogota	Detroit	
Bogota	El Paso	
Bogota	Fayetteville	
Bogota	Fort Lauderdale	
Bogota	Fresno	
Bogota	Hartford	
Bogota	Honolulu	
Bogota	Houston	
Bogota	Idaho Falls	
Bogota	Indianapolis	
Bogota	Kansas City	
Bogota	Las Vegas	
Bogota	Los Angeles	
Bogota	Louisville	
Bogota	Miami	
Bogota	Milwaukee	
Bogota	Minneapolis	
Bogota	Myrtle Beach	
Bogota	Nashville	
Bogota	New Orleans	
Bogota	New York	
Bogota	Oklahoma City	
Bogota	Omaha	
Bogota	Orlando	
Bogota	Panama City	
Bogota	Philadelphia	
Bogota	Phoenix	
Bogota	Pittsburgh	
Bogota	Ponce	
Bogota	Raleigh	
Bogota	Redmond	
Bogota	Rochester	
Bogota	Sacramento	
Bogota	Saint Louis	
Bogota	Salt Lake City	
Bogota	San Antonio	
Bogota	San Diego	
Bogota	San Francisco	
Bogota	San Jose	
Bogota	San Juan	
Bogota	Seattle	
Bogota	Tampa	
Bogota	Torreon	
Bogota	Tulsa	
Bogota	Washington, D.C.	
Bogota	West Palm Beach	
Brisbane	Atlanta	
Brisbane	Austin	
Brisbane	Baltimore	
Brisbane	Boston	
Brisbane	Charlotte	
Brisbane	Chicago	
Brisbane	Cincinnati	
Brisbane	Cleveland	
Brisbane	Columbus	
Brisbane	Dallas	
Brisbane	Denver	
Brisbane	Fort Lauderdale	
Brisbane	Fort Myers	
Brisbane	Hartford	
Brisbane	Honolulu	
Brisbane	Houston	
Brisbane	Indianapolis	
Brisbane	Kansas City	
Brisbane	Las Vegas	
Brisbane	Los Angeles	
Brisbane	Miami	
Brisbane	Nashville	
Brisbane	New Orleans	
Brisbane	Oklahoma City	
Brisbane	Omaha	
Brisbane	Orlando	
Brisbane	Philadelphia	
Brisbane	Pittsburgh	
Brisbane	Raleigh	
